pcode,year,junaug_mm,n_days
NE002004,1998,269.72479238866003,91
NE002004,1999,189.34325505035,91
NE002004,2000,254.76855779909,91
NE002004,2001,199.393314559534,91
NE002004,2002,204.894650468474,91
NE002004,2003,290.557401894,91
NE002004,2004,186.71849538601,91
NE002004,2005,346.67102371973,91
NE002004,2006,229.745621461364,91
NE002004,2007,357.26533330164,91
NE002004,2008,233.44746240904,91
NE002004,2009,208.37598770495,91
NE002004,2010,334.58544056938,91
NE002004,2011,139.543886100478,91
NE002004,2012,317.2299960812,91
NE002004,2013,276.1635743417,91
NE002004,2014,183.700076359189,91
NE002004,2015,288.57262413264,91
NE002004,2016,336.4767544999,91
NE002004,2017,262.41899965218,91
NE002004,2018,386.84470639534,91
NE002004,2019,384.4404081338,91
NE002004,2020,244.361854924115,91
NE002004,2021,446.44634272083,91
NE002004,2022,437.64362942016,91
NE002004,2023,212.387954628114,91
NE002004,2024,424.26788494313,91
NE002004,2025,353.952073524,91
NE002004,2026,160.53973437016,90
NE002005,1998,73.8649003408612,91
NE002005,1999,139.409056231925,91
NE002005,2000,61.8384686361805,91
NE002005,2001,33.7630024219055,91
NE002005,2002,64.165202527655,91
NE002005,2003,53.152481468018,91
NE002005,2004,41.3136943689735,91
NE002005,2005,95.063353702903,91
NE002005,2006,55.70047730202,91
NE002005,2007,74.87340075796,91
NE002005,2008,76.460353033075,91
NE002005,2009,81.49614015037601,91
NE002005,2010,76.71326123213,91
NE002005,2011,58.45745806633,91
NE002005,2012,93.40044156253,91
NE002005,2013,86.8194344400612,91
NE002005,2014,55.7693419027665,91
NE002005,2015,60.12364049137,91
NE002005,2016,92.4572071593544,91
NE002005,2017,62.26706793817,91
NE002005,2018,151.43604974236,91
NE002005,2019,72.264315933501,91
NE002005,2020,143.8744229191725,91
NE002005,2021,115.640886935035,91
NE002005,2022,98.422525887586,91
NE002005,2023,85.568981270979,91
NE002005,2024,209.352295983756,91
NE002005,2025,163.0021573286,91
NE002005,2026,39.4166724800581,90
NE002006,1998,206.26927704241,91
