pcode,year,junjul_mm,n_pix
NE005009,2001,151.52545166015625,389
NE004007,2001,286.2864685058594,1
NE004001,2001,291.99114990234375,58
NE007003,2001,198.37054443359375,145
NE004006,2001,289.21343994140625,125
NE006004,2001,152.93411254882812,214
NE006002,2001,126.91524505615234,100
NE003005,2001,316.20770263671875,51
NE007006,2001,235.6451873779297,131
NE005004,2001,192.82354736328125,124
NE007007,2001,203.38583374023438,123
NE006009,2001,177.5501708984375,488
NE006003,2001,260.5366516113281,44
NE002002,2001,91.68680572509766,180
NE006013,2001,265.85137939453125,202
NE005007,2001,243.591064453125,151
NE006001,2001,147.19430541992188,429
NE002005,2001,14.135994911193848,3920
NE007005,2001,268.2669982910156,74
NE007001,2001,131.8527069091797,309
NE005006,2001,187.4598388671875,124
NE007002,2001,143.25732421875,173
NE006012,2001,160.94100952148438,170
NE006006,2001,220.54356384277344,350
NE001003,2001,2.679264545440674,9604
NE007008,2001,212.31857299804688,112
NE007010,2001,35.903831481933594,2333
NE003006,2001,361.8472900390625,82
NE005013,2001,185.40797424316406,25
NE005001,2001,131.3445587158203,464
NE007011,2001,211.92916870117188,16
NE006005,2001,169.4927520751953,48
NE002004,2001,87.64801025390625,252
NE002001,2001,73.46495056152344,59
NE001004,2002,9.57127571105957,4833
NE001005,2002,44.75738525390625,2074
NE008001,2002,213.45065307617188,17
NE004003,2002,131.2325439453125,357
NE003004,2002,266.7296142578125,300
NE003002,2002,295.244384765625,53
NE007004,2002,128.81163024902344,698
NE007009,2002,94.57897186279297,806
NE003001,2002,216.53126525878906,105
NE004008,2002,158.0766143798828,218
NE003007,2002,177.87872314453125,90
NE002003,2002,112.27542877197266,268
NE005010,2002,61.474464416503906,1005
NE005008,2002,226.56793212890625,50
NE001002,2002,22.873594284057617,2096
NE001001,2002,54.69915008544922,1741
NE003008,2002,255.9832763671875,93
NE006010,2002,254.56138610839844,213
NE003003,2002,161.64659118652344,279
NE005011,2002,91.0096435546875,371
NE004009,2002,184.19345092773438,178
NE004005,2002,159.8955078125,157
NE005002,2002,138.48915100097656,102
NE005003,2002,207.1432342529297,106
NE001006,2002,44.60918045043945,1062
NE006011,2002,147.36688232421875,314
NE006008,2002,197.2871551513672,304
NE005012,2002,90.90248107910156,593
NE004004,2002,199.1039581298828,33
NE002006,2002,45.173004150390625,330
NE004002,2002,115.75260162353516,192
NE006007,2002,162.4413604736328,141
NE005005,2002,194.74380493164062,125
NE005009,2002,127.18574523925781,389
NE004007,2002,192.44540405273438,1
NE004001,2002,184.42874145507812,58
NE007003,2002,208.40826416015625,145
NE004006,2002,208.63426208496094,125
NE006004,2002,108.33281707763672,214
NE006002,2002,93.35330963134766,100
NE003005,2002,284.5019836425781,51
NE007006,2002,227.78050231933594,131
NE005004,2002,184.15386962890625,124
NE007007,2002,181.47979736328125,123
NE006009,2002,137.35104370117188,488
NE006003,2002,158.1688690185547,44
NE002002,2002,73.3597640991211,180
NE006013,2002,226.10433959960938,202
NE005007,2002,189.9369354248047,151
NE006001,2002,116.27890014648438,429
NE002005,2002,11.575566291809082,3920
NE007005,2002,223.30892944335938,74
NE007001,2002,107.63773345947266,309
NE005006,2002,178.27157592773438,124
NE007002,2002,128.0029754638672,173
NE006012,2002,125.54965209960938,170
NE006006,2002,145.06272888183594,350
NE001003,2002,3.1037092208862305,9604
NE007008,2002,162.16958618164062,112
NE007010,2002,42.142337799072266,2333
NE003006,2002,342.2684020996094,82
NE005013,2002,162.34075927734375,25
NE005001,2002,98.44332885742188,464
NE007011,2002,177.4091796875,16
NE006005,2002,142.435302734375,48
NE002004,2002,86.26607513427734,252
NE002001,2002,42.96968078613281,59
NE001004,2003,9.13952922821045,4833
NE001005,2003,49.40983200073242,2074
NE008001,2003,203.17811584472656,17
NE004003,2003,156.53211975097656,357
NE003004,2003,255.09010314941406,300
NE003002,2003,266.9114074707031,53
NE007004,2003,196.5196990966797,698
NE007009,2003,135.9930419921875,806
NE003001,2003,213.7864990234375,105
NE004008,2003,191.6154327392578,218
NE003007,2003,206.08474731445312,90
NE002003,2003,176.4130096435547,268
NE005010,2003,62.38285827636719,1005
NE005008,2003,229.2752685546875,50
NE001002,2003,20.806835174560547,2096
NE001001,2003,63.104122161865234,1741
NE003008,2003,259.814697265625,93
NE006010,2003,274.3537902832031,213
NE003003,2003,184.9434356689453,279
NE005011,2003,113.67035675048828,371
NE004009,2003,205.66885375976562,178
NE004005,2003,200.2384796142578,157
NE005002,2003,170.55380249023438,102
NE005003,2003,207.09799194335938,106
NE001006,2003,42.73381423950195,1062
NE006011,2003,203.05813598632812,314
NE006008,2003,195.25868225097656,304
NE005012,2003,112.4055404663086,593
NE004004,2003,236.15367126464844,33
NE002006,2003,130.41033935546875,330
NE004002,2003,121.481689453125,192
NE006007,2003,264.2456970214844,141
NE005005,2003,212.58810424804688,125
NE005009,2003,154.23248291015625,389
NE004007,2003,227.47286987304688,1
NE004001,2003,230.53321838378906,58
NE007003,2003,323.3510437011719,145
NE004006,2003,232.06044006347656,125
NE006004,2003,137.51950073242188,214
NE006002,2003,115.4700698852539,100
NE003005,2003,278.4160461425781,51
NE007006,2003,305.5321960449219,131
NE005004,2003,203.20285034179688,124
NE007007,2003,261.61029052734375,123
