season_year,fc_log,fc_log_dt,pcode,adm_level,trimester
1994,1.5150574621370905,1.5405659743582008,NE008001,2,JJA
1995,1.2092425270270208,1.231916760112452,NE008001,2,JJA
1996,1.0111161964998316,1.0309561504495839,NE008001,2,JJA
1997,0.868243973674691,0.8852496484887642,NE008001,2,JJA
1998,1.4834820564197861,1.4976534520981812,NE008001,2,JJA
1999,1.3601668884939964,1.3715040050367124,NE008001,2,JJA
2000,0.7938851737711632,0.8023880111782002,NE008001,2,JJA
2001,1.3823212500284683,1.3879898082998263,NE008001,2,JJA
2002,1.1885198862626125,1.1913541653982915,NE008001,2,JJA
2003,1.2514032366614827,1.2514032366614827,NE008001,2,JJA
2004,0.9963125820961323,0.9934783029604541,NE008001,2,JJA
2005,1.1634311621787532,1.157762603907396,NE008001,2,JJA
2006,1.086238849542206,1.0777360121351698,NE008001,2,JJA
2007,1.3499195906020796,1.3385824740593644,NE008001,2,JJA
2008,1.2905397667708025,1.2763683710924083,NE008001,2,JJA
2009,0.9057196261104623,0.8887139512963891,NE008001,2,JJA
2010,1.3569175836025604,1.3370776296528082,NE008001,2,JJA
2011,0.8917427978507866,0.8690685647653562,NE008001,2,JJA
2012,1.2744075973355586,1.2488990851144492,NE008001,2,JJA
2013,1.246065090331749,1.2177222989749605,NE008001,2,JJA
2014,1.1814056159795996,1.1502285454871322,NE008001,2,JJA
2015,1.265195257855237,1.2311839082270906,NE008001,2,JJA
2016,1.3392837032950462,1.3024380745312207,NE008001,2,JJA
2017,1.1212883557485658,1.0816084478490613,NE008001,2,JJA
2018,1.2023449318879704,1.1598307448527878,NE008001,2,JJA
2019,1.1356534595499148,1.0903049933790532,NE008001,2,JJA
2020,1.21842521584981,1.1702424705432692,NE008001,2,JJA
2021,0.9728949857631315,0.9218779613209118,NE008001,2,JJA
2022,1.2698330853243058,1.2159817817464071,NE008001,2,JJA
2023,1.1751730498180224,1.1184874671044447,NE008001,2,JJA
2024,1.3495977253462383,1.2900778634969816,NE008001,2,JJA
2025,1.169902655638004,1.1075485146530692,NE008001,2,JJA
2026,0.835954477859978,0.7707660577393641,NE008001,2,JJA
1981,1.174587921281472,1.3136000879529253,NE008001,2,JAS
1982,0.9260573414761157,1.0587507732988677,NE008001,2,JAS
1983,0.8981706583265446,1.0245453553005937,NE008001,2,JAS
1984,0.6441416591920658,0.7641976213174134,NE008001,2,JAS
1985,1.222211107700929,1.3359483349775736,NE008001,2,JAS
1986,1.1834991485482316,1.2909176409761731,NE008001,2,JAS
1987,0.9778225860604022,1.0789223436396425,NE008001,2,JAS
1988,1.4083966544110216,1.5031776771415588,NE008001,2,JAS
1989,1.3263661409607543,1.4148284288425903,NE008001,2,JAS
1990,0.946779102055998,1.028922655089131,NE008001,2,JAS
1991,1.3064491828334825,1.3822740010179124,NE008001,2,JAS
1992,1.1026917987414127,1.1721978820771413,NE008001,2,JAS
1993,1.1194737927522356,1.1826611412392611,NE008001,2,JAS
