pcode,year,n_rain,rain_rp,veg_rp,cdi
NE004008,2013,4,4.430327868852459,2.2,0
NE004008,2014,4,2.4825124910778014,4.0,0
NE004008,2015,4,1.976847729296527,2.9333333333333336,0
NE004008,2016,4,2.0243445692883895,2.588235294117647,0
NE004008,2017,4,1.34765625,1.5714285714285714,0
NE004008,2018,4,1.6020267157991708,1.375,0
NE004008,2019,4,1.8774966711051932,2.0952380952380953,0
NE004008,2020,4,1.3032159264931087,1.8333333333333335,0
NE004008,2021,4,2.131519274376417,1.6296296296296295,0
NE004008,2022,4,1.951834862385321,1.222222222222222,0
NE004008,2023,4,1.4741035856573705,1.5714285714285714,0
NE004008,2024,4,1.0626336694164376,1.222222222222222,0
NE004008,2025,4,1.318423047763457,1.4666666666666668,0
NE004008,2026,4,3.0096051227321237,1.9130434782608696,0
NE004009,1991,3,2.090909090909091,11.0,5
NE004009,1992,3,2.764705882352941,2.3157894736842106,0
NE004009,1993,3,5.285714285714286,7.333333333333334,3
NE004009,1994,3,2.176470588235294,1.222222222222222,0
NE004009,1995,3,2.1363636363636362,5.5,5
NE004009,1996,3,6.571428571428571,6.285714285714286,3
NE004009,1997,3,1.4242424242424243,8.8,5
NE004009,1998,4,1.5678027556200143,2.0,0
NE004009,1999,4,1.2870835235052487,1.222222222222222,0
NE004009,2000,4,2.334437086092715,1.6923076923076923,0
NE004009,2001,4,1.1455108359133128,2.75,0
NE004009,2002,4,1.8034118602761982,2.588235294117647,0
NE004009,2003,4,1.5994236311239192,1.4666666666666668,0
NE004009,2004,4,3.2316890881913305,4.4,0
NE004009,2005,4,1.4767895878524946,3.666666666666667,0
NE004009,2006,4,6.527777777777778,8.8,3
NE004009,2007,4,2.8041504539559012,3.3846153846153846,0
NE004009,2008,4,2.276923076923077,1.9130434782608696,0
NE004009,2009,4,6.626865671641791,7.333333333333334,3
NE004009,2010,4,1.1694687289845327,1.3333333333333333,0
NE004009,2011,4,2.6618705035971217,1.8333333333333335,0
NE004009,2012,4,1.7641778865769073,1.6923076923076923,0
NE004009,2013,4,3.3242187499999996,2.2,0
NE004009,2014,4,2.6013462976813764,4.0,0
NE004009,2015,4,2.792452830188679,2.9333333333333336,0
NE004009,2016,4,2.324731182795699,2.588235294117647,0
NE004009,2017,4,1.4330218068535827,1.5714285714285714,0
NE004009,2018,4,1.5946813388353964,1.375,0
NE004009,2019,4,1.9092755585646584,2.0952380952380953,0
NE004009,2020,4,1.182765809589993,1.8333333333333335,0
NE004009,2021,4,1.800207039337474,1.6296296296296295,0
NE004009,2022,4,1.8198653198653196,1.222222222222222,0
NE004009,2023,4,1.3725335438042618,1.5714285714285714,0
NE004009,2024,4,1.0871694417238003,1.222222222222222,0
NE004009,2025,4,1.3687524596615506,1.4666666666666668,0
NE004009,2026,4,3.994334277620397,1.9130434782608696,0
NE005001,1991,3,1.7407407407407405,6.285714285714286,5
NE005001,1992,3,1.8800000000000001,2.2,0
NE005001,1993,3,23.5,6.285714285714286,4
NE005001,1994,3,1.15625,1.1282051282051282,0
NE005001,1995,3,4.7,8.8,5
NE005001,1996,3,4.111111111111111,4.0,0
NE005001,1997,3,3.6153846153846154,7.333333333333334,5
NE005001,1998,4,1.039939713639789,1.2941176470588236,0
NE005001,1999,4,1.3590361445783132,1.1282051282051282,0
NE005001,2000,4,2.0464441219158203,2.9333333333333336,0
NE005001,2001,4,1.3849033063006861,2.2,0
NE005001,2002,4,3.583157894736842,5.5,5
NE005001,2003,4,1.447278911564626,1.7599999999999998,0
NE005001,2004,4,5.4873096446700504,5.5,3
NE005001,2005,4,1.4590655807972568,3.142857142857143,0
NE005001,2006,4,3.210096510764662,4.4,0
NE005001,2007,4,1.79902755267423,2.0,0
NE005001,2008,4,1.944244604316547,1.517241379310345,0
NE005001,2009,4,2.331099195710456,3.142857142857143,0
NE005001,2010,4,1.22354272778721,1.8333333333333335,0
NE005001,2011,4,2.3863134657836644,2.588235294117647,0
NE005001,2012,4,2.071873502635362,2.3157894736842106,0
NE005001,2013,4,9.324396782841823,1.8333333333333335,1
NE005001,2014,4,1.9770773638968482,1.517241379310345,0
NE005001,2015,4,3.2361516034985423,1.7599999999999998,0
NE005001,2016,4,1.4313141343925853,3.666666666666667,0
NE005001,2017,4,1.240390131956397,2.0,0
NE005001,2018,4,2.2187254130605822,1.4666666666666668,0
NE005001,2019,4,1.5879828326180256,2.0952380952380953,0
NE005001,2020,4,2.42877094972067,1.2571428571428571,0
NE005001,2021,4,1.3741604109047807,1.375,0
NE005001,2022,4,3.8641644325290434,1.3333333333333333,0
NE005001,2023,4,2.356687898089172,2.75,0
NE005001,2024,4,1.0767468499427262,1.1578947368421053,0
NE005001,2025,4,1.6883495145631067,1.2941176470588236,0
NE005001,2026,4,2.355889724310777,1.6923076923076923,0
NE005003,1991,3,1.9583333333333335,6.285714285714286,5
NE005003,1992,3,2.090909090909091,2.2,0
NE005003,1993,3,6.714285714285714,6.285714285714286,3
NE005003,1994,3,1.1794871794871795,1.1282051282051282,0
NE005003,1995,3,3.1333333333333333,8.8,5
NE005003,1996,3,1.5161290322580647,4.0,0
NE005003,1997,3,2.846153846153846,7.333333333333334,5
NE005003,1998,4,1.3580632565404138,1.2941176470588236,0
NE005003,1999,4,1.1773865944482058,1.1282051282051282,0
NE005003,2000,4,2.1123595505617976,2.9333333333333336,0
NE005003,2001,4,1.8734177215189873,2.2,0
NE005003,2002,4,1.3967871485943777,5.5,5
NE005003,2003,4,1.792703150912106,1.7599999999999998,0
NE005003,2004,4,3.461969575660529,5.5,5
NE005003,2005,4,1.069802731411229,3.142857142857143,0
NE005003,2006,4,2.095180722891566,4.4,0
NE005003,2007,4,2.4577617328519854,2.0,0
NE005003,2008,4,2.2045680238331675,1.517241379310345,0
NE005003,2009,4,7.1827242524916945,3.142857142857143,1
NE005003,2010,4,1.2947658402203857,1.8333333333333335,0
NE005003,2011,4,5.159904534606206,2.588235294117647,1
NE005003,2012,4,2.8132726089785294,2.3157894736842106,0
NE005003,2013,4,2.4025974025974026,1.8333333333333335,0
NE005003,2014,4,1.2078212290502794,1.517241379310345,0
NE005003,2015,4,1.4356811471952764,1.7599999999999998,0
NE005003,2016,4,1.2922893006575016,3.666666666666667,0
NE005003,2017,4,4.669410150891633,2.0,0
NE005003,2018,4,2.2483487450462354,1.4666666666666668,0
NE005003,2019,4,3.5031055900621118,2.0952380952380953,0
NE005003,2020,4,1.114603798297315,1.2571428571428571,0
NE005003,2021,4,4.036363636363636,1.375,0
NE005003,2022,4,2.113943028485757,1.3333333333333333,0
NE005003,2023,4,3.8743455497382193,2.75,0
NE005003,2024,4,1.0391395279354647,1.1578947368421053,0
NE005003,2025,4,3.426600985221675,1.2941176470588236,0
NE005003,2026,4,5.685483870967742,1.6923076923076923,1
NE005004,1991,3,2.0555555555555554,6.285714285714286,5
NE005004,1992,3,2.238095238095238,2.2,0
NE005004,1993,3,15.666666666666668,6.285714285714286,4
NE005004,1994,3,1.48,1.1282051282051282,0
NE005004,1995,3,7.833333333333334,8.8,3
NE005004,1996,3,2.4666666666666663,4.0,0
NE005004,1997,3,2.176470588235294,7.333333333333334,5
NE005004,1998,4,1.1340152111198532,1.2941176470588236,0
NE005004,1999,4,2.111718275652702,1.1282051282051282,0
NE005004,2000,4,1.7526413921690491,2.9333333333333336,0
NE005004,2001,4,1.4590655807972568,2.2,0
NE005004,2002,4,2.293800539083558,5.5,5
NE005004,2003,4,1.3405797101449277,1.7599999999999998,0
NE005004,2004,4,3.461969575660529,5.5,5
NE005004,2005,4,1.1643270024772916,3.142857142857143,0
NE005004,2006,4,2.513953488372093,4.4,0
NE005004,2007,4,1.9803746654772523,2.0,0
NE005004,2008,4,2.445701357466063,1.517241379310345,0
NE005004,2009,4,4.6381578947368425,3.142857142857143,0
NE005004,2010,4,1.2987303958177743,1.8333333333333335,0
NE005004,2011,4,2.1187077385424495,2.588235294117647,0
NE005004,2012,4,1.8260135135135134,2.3157894736842106,0
NE005004,2013,4,4.733475479744136,1.8333333333333335,0
NE005004,2014,4,1.4358452138492872,1.517241379310345,0
NE005004,2015,4,1.8817025981205082,1.7599999999999998,0
NE005004,2016,4,1.4549125168236876,3.666666666666667,0
NE005004,2017,4,1.5809872029250458,2.0,0
NE005004,2018,4,2.2615062761506275,1.4666666666666668,0
NE005004,2019,4,1.8158403090792017,2.0952380952380953,0
NE005004,2020,4,1.2673119880863737,1.2571428571428571,0
NE005004,2021,4,2.868217054263566,1.375,0
NE005004,2022,4,3.4516523867809057,1.3333333333333333,0
NE005004,2023,4,2.453038674033149,2.75,0
NE005004,2024,4,1.045994065281899,1.1578947368421053,0
NE005004,2025,4,3.734024179620034,1.2941176470588236,0
NE005004,2026,4,6.527777777777778,1.6923076923076923,1
NE005005,1991,3,1.6818181818181817,6.285714285714286,5
NE005005,1992,3,2.642857142857143,2.2,0
NE005005,1993,3,5.875,6.285714285714286,3
NE005005,1994,3,1.088235294117647,1.1282051282051282,0
NE005005,1995,3,2.611111111111111,8.8,5
NE005005,1996,3,1.9583333333333335,4.0,0
NE005005,1997,3,2.764705882352941,7.333333333333334,5
NE005005,1998,4,1.1519198664440735,1.2941176470588236,0
NE005005,1999,4,2.017401392111369,1.1282051282051282,0
NE005005,2000,4,2.378932968536252,2.9333333333333336,0
NE005005,2001,4,1.4142085583714166,2.2,0
NE005005,2002,4,1.3049514113836185,5.5,5
NE005005,2003,4,1.3933688088415883,1.7599999999999998,0
NE005005,2004,4,4.23921568627451,5.5,5
NE005005,2005,4,1.128451380552221,3.142857142857143,0
NE005005,2006,4,2.0826347305389223,4.4,0
NE005005,2007,4,1.7002997002997002,2.0,0
NE005005,2008,4,2.2886597938144333,1.517241379310345,0
NE005005,2009,4,4.196428571428571,3.142857142857143,0
NE005005,2010,4,1.4050632911392404,1.8333333333333335,0
NE005005,2011,4,3.1292517006802716,2.588235294117647,0
NE005005,2012,4,2.2674357629785002,2.3157894736842106,0
NE005005,2013,4,3.012211668928087,1.8333333333333335,0
NE005005,2014,4,1.4850555081127241,1.517241379310345,0
NE005005,2015,4,1.5182872435325603,1.7599999999999998,0
NE005005,2016,4,1.2922893006575016,3.666666666666667,0
NE005005,2017,4,2.5807429871114484,2.0,0
NE005005,2018,4,2.1947130883301096,1.4666666666666668,0
NE005005,2019,4,2.722007722007722,2.0952380952380953,0
NE005005,2020,4,1.2053824362606231,1.2571428571428571,0
NE005005,2021,4,4.596273291925466,1.375,0
NE005005,2022,4,3.186440677966102,1.3333333333333333,0
NE005005,2023,4,2.0018034265103695,2.75,0
NE005005,2024,4,1.0391395279354647,1.1578947368421053,0
NE005005,2025,4,3.776330076004343,1.2941176470588236,0
NE005005,2026,4,9.559322033898304,1.6923076923076923,1
NE005006,1991,3,1.761904761904762,6.285714285714286,5
NE005006,1992,3,3.916666666666667,2.2,0
NE005006,1993,3,11.75,6.285714285714286,4
NE005006,1994,3,1.0454545454545454,1.1282051282051282,0
NE005006,1995,3,4.7,8.8,5
NE005006,1996,3,2.176470588235294,4.0,0
NE005006,1997,3,2.473684210526316,7.333333333333334,5
NE005006,1998,4,1.069802731411229,1.2941176470588236,0
NE005006,1999,4,1.7049019607843137,1.1282051282051282,0
NE005006,2000,4,2.094339622641509,2.9333333333333336,0
NE005006,2001,4,1.433211799801127,2.2,0
NE005006,2002,4,1.9946091644204853,5.5,5
NE005006,2003,4,1.5319531953195318,1.7599999999999998,0
NE005006,2004,4,3.1646951774340306,5.5,5
NE005006,2005,4,1.375609756097561,3.142857142857143,0
NE005006,2006,4,2.197094125078964,4.4,0
NE005006,2007,4,1.7788461538461537,2.0,0
NE005006,2008,4,2.2769878883622963,1.517241379310345,0
NE005006,2009,4,3.5929752066115697,3.142857142857143,0
NE005006,2010,4,1.1896551724137931,1.8333333333333335,0
NE005006,2011,4,2.422680412371134,2.588235294117647,0
NE005006,2012,4,2.114425427872861,2.3157894736842106,0
NE005006,2013,4,8.280952380952382,1.8333333333333335,1
NE005006,2014,4,1.6031836270608302,1.517241379310345,0
NE005006,2015,4,1.4194373401534528,1.7599999999999998,0
NE005006,2016,4,1.327602087810869,3.666666666666667,0
NE005006,2017,4,1.6643571978444958,2.0,0
NE005006,2018,4,2.317256162915327,1.4666666666666668,0
NE005006,2019,4,2.4500434404865334,2.0952380952380953,0
NE005006,2020,4,1.4155474155474155,1.2571428571428571,0
NE005006,2021,4,2.1305182341650672,1.375,0
NE005006,2022,4,3.186440677966102,1.3333333333333333,0
NE005006,2023,4,1.8407960199004976,2.75,0
NE005006,2024,4,1.0645526613816534,1.1578947368421053,0
NE005006,2025,4,3.0174459176552686,1.2941176470588236,0
NE005006,2026,4,14.029850746268655,1.6923076923076923,2
NE005008,1991,3,1.48,6.285714285714286,5
NE005008,1992,3,2.846153846153846,2.2,0
NE005008,1993,3,9.25,6.285714285714286,3
NE005008,1994,3,1.423076923076923,1.1282051282051282,0
NE005008,1995,3,2.611111111111111,8.8,5
NE005008,1996,3,1.6818181818181817,4.0,0
NE005008,1997,3,2.473684210526316,7.333333333333334,5
NE005008,1998,4,1.1452282157676348,1.2941176470588236,0
NE005008,1999,4,1.3199240986717267,1.1282051282051282,0
NE005008,2000,4,2.197094125078964,2.9333333333333336,0
NE005008,2001,4,1.6665069477719214,2.2,0
NE005008,2002,4,1.3128326434062683,5.5,5
NE005008,2003,4,1.6412729026036645,1.7599999999999998,0
NE005008,2004,4,2.898333333333333,5.5,5
NE005008,2005,4,1.069802731411229,3.142857142857143,0
NE005008,2006,4,2.0157255182273053,4.4,0
NE005008,2007,4,2.5768357305071916,2.0,0
NE005008,2008,4,2.0524017467248905,1.517241379310345,0
NE005008,2009,4,5.935828877005347,3.142857142857143,1
NE005008,2010,4,1.2515293270960777,1.8333333333333335,0
NE005008,2011,4,2.327233584499462,2.588235294117647,0
NE005008,2012,4,2.490974729241877,2.3157894736842106,0
NE005008,2013,4,3.712374581939799,1.8333333333333335,0
NE005008,2014,4,1.327602087810869,1.517241379310345,0
NE005008,2015,4,1.3422712933753942,1.7599999999999998,0
NE005008,2016,4,1.2747641509433962,3.666666666666667,0
