level,pcode,year,spi
2,NE005002,2000,-0.12744136659969904
2,NE005002,1999,0.49345985973517004
2,NE005002,1998,0.13566172086881267
2,NE005002,1997,-0.786260016869323
2,NE005002,1996,0.4283504696554938
2,NE005002,1995,-1.193910850294257
2,NE005002,1994,1.7085544903792582
2,NE005002,1993,-1.1089115859328444
2,NE005002,1992,0.04669275851451144
2,NE005002,1991,-0.12677051478614595
2,NE005003,2026,-0.0520256557339281
2,NE005003,2025,-0.6912037530344625
2,NE005003,2024,1.4090192476191497
2,NE005003,2023,-0.8111252127457369
2,NE005003,2022,-1.0728458406846033
2,NE005003,2021,-0.9179435551444503
2,NE005003,2020,0.937600554707951
2,NE005003,2019,-1.550968632047555
2,NE005003,2018,-0.39938736772730643
2,NE005003,2017,-0.8806872723911671
2,NE005003,2016,1.3635247596526117
2,NE005003,2015,0.38089171034424696
2,NE005003,2014,1.0664405162085178
2,NE005003,2013,-0.09633515326584359
2,NE005003,2012,0.023925421258601993
2,NE005003,2011,-1.1647130527817806
2,NE005003,2010,0.4004173727131059
2,NE005003,2009,-0.20844401999809636
2,NE005003,2008,0.034106930857437046
2,NE005003,2007,-0.6556473339516518
2,NE005003,2006,-0.04364216722225146
2,NE005003,2005,2.24711991663047
2,NE005003,2004,-1.1070344176797413
2,NE005003,2003,0.8326804987053086
2,NE005003,2002,0.4558742387714749
2,NE005003,2001,0.09541377321161323
2,NE005003,2000,-0.19913881872883815
2,NE005003,1999,0.6030448735432197
2,NE005003,1998,0.18592861416606138
2,NE005003,1997,-0.36177258109135607
2,NE005003,1996,0.4760515462586163
2,NE005003,1995,-0.48138128019110954
2,NE005003,1994,1.0883953328257883
2,NE005003,1993,-1.212899011293221
2,NE005003,1992,0.28789924633519137
2,NE005003,1991,0.17751559709250486
2,NE001006,2026,-0.4906041709876335
2,NE001006,2025,1.4769625863773304
2,NE001006,2024,1.0824006244398354
2,NE001006,2023,-1.2355184417930398
2,NE001006,2022,-0.008798944921343742
2,NE001006,2021,-0.46503900920627284
2,NE001006,2020,-0.612269527467812
2,NE001006,2019,-0.21650099085660687
2,NE001006,2018,0.6665069712941445
2,NE001006,2017,0.01356468076927406
2,NE001006,2016,1.2059084161277926
2,NE001006,2015,0.043714701197664775
2,NE001006,2014,-1.2542425627470422
2,NE001006,2013,-0.4996776705518349
2,NE001006,2012,0.6300675981628613
2,NE001006,2011,0.05039267009815834
