pcode,year,junjul_mm,n_months
NE001006,2023,7.177892699999999,2
NE001006,2024,10.15835617,2
NE001006,2025,11.51812302,2
NE001006,2026,7.601667109999999,2
NE002001,1981,157.0127452,2
NE002001,1982,39.9025744,2
NE002001,1983,65.79608999999999,2
NE002001,1984,51.10566119999999,2
NE002001,1985,93.1364187,2
NE002001,1986,74.8583595,2
NE002001,1987,91.33833849999999,2
NE002001,1988,125.8349996,2
NE002001,1989,72.7866872,2
NE002001,1990,95.92175959999999,2
NE002001,1991,76.1899179,2
NE002001,1992,81.0025068,2
NE002001,1993,47.743714399999995,2
NE002001,1994,105.55674339999999,2
NE002001,1995,89.6370502,2
NE002001,1996,74.0349017,2
NE002001,1997,82.7328321,2
NE002001,1998,72.9156748,2
NE002001,1999,110.0612589,2
NE002001,2000,122.34988500000001,2
NE002001,2001,76.5536975,2
NE002001,2002,80.6223374,2
NE002001,2003,80.77408340000001,2
NE002001,2004,65.1351134,2
NE002001,2005,87.37903539999999,2
NE002001,2006,43.756809000000004,2
NE002001,2007,72.50811920000001,2
NE002001,2008,44.8518533,2
NE002001,2009,40.25695230000001,2
NE002001,2010,122.1610216,2
NE002001,2011,35.9819398,2
NE002001,2012,61.2730255,2
NE002001,2013,46.44038456,2
NE002001,2014,49.16604890000001,2
NE002001,2015,47.1934623,2
NE002001,2016,146.2046123,2
NE002001,2017,82.3304123,2
NE002001,2018,71.1221872,2
NE002001,2019,54.8218902,2
NE002001,2020,43.1969858,2
NE002001,2021,79.9125106,2
NE002001,2022,68.15528809999999,2
NE002001,2023,54.3538435,2
NE002001,2024,67.9864405,2
NE002001,2025,58.1081833,2
NE002001,2026,49.4527004,2
NE002002,1981,146.16170580000002,2
NE002002,1982,39.824649799999996,2
NE002002,1983,71.3940216,2
NE002002,1984,44.5276721,2
NE002002,1985,91.01223900000001,2
NE002002,1986,60.6396005,2
NE002002,1987,89.427007,2
NE002002,1988,105.69560530000001,2
NE002002,1989,68.6429195,2
NE002002,1990,91.8544589,2
NE002002,1991,75.3597714,2
NE002002,1992,70.3990231,2
NE002002,1993,34.907538200000005,2
NE002002,1994,82.0287639,2
NE002002,1995,82.61008519999999,2
NE002002,1996,63.547625000000004,2
NE002002,1997,64.1592523,2
NE002002,1998,77.05926939999999,2
NE002002,1999,107.8110818,2
NE002002,2000,104.8956492,2
NE002002,2001,68.5528708,2
NE002002,2002,68.19616309999999,2
NE002002,2003,58.010859,2
NE002002,2004,55.5675879,2
NE002002,2005,91.1883047,2
NE002002,2006,32.82482036,2
NE002002,2007,57.2548465,2
NE002002,2008,45.83402546000001,2
NE002002,2009,38.472660160000004,2
NE002002,2010,153.787997,2
NE002002,2011,27.030006540000002,2
NE002002,2012,49.097401649999995,2
NE002002,2013,33.7418709,2
NE002002,2014,45.6809992,2
NE002002,2015,42.5959326,2
NE002002,2016,133.38083569999998,2
NE002002,2017,63.7582759,2
NE002002,2018,73.00604774,2
NE002002,2019,33.85389344,2
NE002002,2020,32.5182482,2
NE002002,2021,69.7226148,2
NE002002,2022,95.7091798,2
NE002002,2023,38.931809019999996,2
NE002002,2024,49.5348114,2
NE002002,2025,57.4610418,2
NE002002,2026,33.3264201,2
NE002003,1981,98.77045079999999,2
NE002003,1982,34.904890200000004,2
NE002003,1983,67.7021301,2
NE002003,1984,30.04792425,2
NE002003,1985,68.2701476,2
NE002003,1986,62.8301626,2
NE002003,1987,72.9905474,2
