source,year,jun_mm,jul_mm,seasonal_mm
era5,2021,4.9183783531188965,36.698177337646484,41.61655807495117
era5,2022,10.319960594177246,33.42039489746094,43.7403564453125
era5,2023,6.740732669830322,17.173656463623047,23.914390563964844
era5,2024,5.174543380737305,33.579566955566406,38.75410842895508
era5,2025,5.6488237380981445,39.12120056152344,44.77001953125
era5,2026,6.787187576293945,17.874277114868164,24.661460876464844
chirps,1981,27.134716033935547,83.71942138671875,110.8541488647461
chirps,1982,23.09514617919922,52.79002380371094,75.88517761230469
chirps,1983,29.19647979736328,60.24915313720703,89.44564056396484
chirps,1984,14.884380340576172,37.106319427490234,51.99069595336914
chirps,1985,23.031953811645508,60.93584060668945,83.96778869628906
chirps,1986,21.79741668701172,79.22563171386719,101.02304077148438
chirps,1987,18.15481948852539,47.48481750488281,65.63963317871094
chirps,1988,31.80704116821289,90.7774429321289,122.58448791503906
chirps,1989,23.528562545776367,59.94588851928711,83.47444915771484
chirps,1990,19.625377655029297,82.57028198242188,102.19564819335938
chirps,1991,29.331676483154297,76.66204071044922,105.99371337890625
chirps,1992,24.446609497070312,75.88553619384766,100.33214569091797
chirps,1993,23.6007022857666,60.56837844848633,84.16908264160156
chirps,1994,25.305994033813477,90.18111419677734,115.48711395263672
chirps,1995,23.921146392822266,65.7724380493164,89.6935806274414
chirps,1996,32.209381103515625,51.44328689575195,83.65267181396484
chirps,1997,30.604061126708984,60.52935028076172,91.13341522216797
chirps,1998,29.976667404174805,87.03778839111328,117.01445007324219
chirps,1999,14.317371368408203,103.80774688720703,118.12511444091797
chirps,2000,22.87546730041504,88.90563201904297,111.78108978271484
chirps,2001,29.282798767089844,93.1338119506836,122.41661071777344
chirps,2002,26.54237937927246,77.54000091552734,104.08238220214844
chirps,2003,44.69709777832031,88.40962982177734,133.10671997070312
chirps,2004,22.08199119567871,68.46900939941406,90.55099487304688
chirps,2005,47.44961166381836,79.14301300048828,126.59261322021484
chirps,2006,17.966251373291016,67.37547302246094,85.34172821044922
chirps,2007,22.397146224975586,79.84461212158203,102.24175262451172
chirps,2008,32.472408294677734,76.7767562866211,109.24917602539062
chirps,2009,29.689329147338867,62.38606643676758,92.07539367675781
chirps,2010,42.30326843261719,79.82805633544922,122.13133239746094
chirps,2011,31.371387481689453,58.4727783203125,89.84416961669922
chirps,2012,35.29118347167969,81.68504333496094,116.97622680664062
chirps,2013,26.75090217590332,57.01112365722656,83.76202392578125
chirps,2014,19.30990219116211,79.69625091552734,99.00615692138672
chirps,2015,19.764554977416992,67.58007049560547,87.3446273803711
chirps,2016,32.90867233276367,82.05372619628906,114.96239471435547
chirps,2017,38.25882339477539,75.94326782226562,114.20207977294922
chirps,2018,37.78723907470703,74.77129364013672,112.55852508544922
chirps,2019,33.942440032958984,69.77776336669922,103.72019958496094
chirps,2020,26.534177780151367,96.84114837646484,123.37532806396484
chirps,2021,19.510236740112305,98.13880157470703,117.64903259277344
chirps,2022,25.154159545898438,80.47850799560547,105.6326675415039
chirps,2023,35.018455505371094,78.71202087402344,113.73048400878906
chirps,2024,40.820030212402344,111.89067840576172,152.71070861816406
chirps,2025,26.333812713623047,94.08021545410156,120.41402435302734
chirps,2026,36.26821517944336,51.77850341796875,88.04671478271484
